Seq_name	Read1	Read2	Instrument_run	ID_sample	Bldg_loc_ID	Bldg_ID	Temp_degC	pH	Hardness	CFU_L	Country	City	Season_year	Time_point	Building_type	Location_in_building
430.17	430.17.V3V4_1.fastq.gz	430.17.V3V4_2.fastq.gz	M01607_357	HO2-HRW	W_B3_HRW	W_B3	50	7.5	256	17700	Poland	Warsaw	Autumn2017	2017-10	Hospital	HRW
431.17	431.17.V3V4_1.fastq.gz	431.17.V3V4_2.fastq.gz	M01607_357	HO2_FPB	W_B3_FPB	W_B3	54.7	7.5	256	1500	Poland	Warsaw	Autumn2017	2017-10	Hospital	FPB
112.18	112.18.V3V4_1.fastq.gz	112.18.V3V4_2.fastq.gz	M01607_357	PB-MW	W_B1_MW	W_B1	18.5	7.2	208	0	Poland	Warsaw	Spring2018	2018-04	Public_building	MW
113.18	113.18.V3V4_1.fastq.gz	113.18.V3V4_2.fastq.gz	M01607_357	PB-Bb	W_B1_BB	W_B1	54.5	7.2	208	0	Poland	Warsaw	Spring2018	2018-04	Public_building	BB
114.18	114.18.V3V4_1.fastq.gz	114.18.V3V4_2.fastq.gz	M01607_357	PB-HRW	W_B1_HRW	W_B1	52.2	7.3	208	48000	Poland	Warsaw	Spring2018	2018-04	Public_building	HRW
115.18	115.18.V3V4_1.fastq.gz	115.18.V3V4_2.fastq.gz	M01607_357	PB_FPB	W_B1_FPB	W_B1	50.5	7.3	208	60000	Poland	Warsaw	Spring2018	2018-04	Public_building	FPB
121.18	121.18.V3V4_1.fastq.gz	121.18.V3V4_2.fastq.gz	M01607_357	HO1-MW	W_B2_MW	W_B2	23.3	7.1	120	92	Poland	Warsaw	Spring2018	2018-04	Hotel	MW
122.18	122.18.V3V4_1.fastq.gz	122.18.V3V4_2.fastq.gz	M01607_357	HO1-Bb	W_B2_BB	W_B2	33.2	7.3	250	40	Poland	Warsaw	Spring2018	2018-04	Hotel	BB
123.18	123.18.V3V4_1.fastq.gz	123.18.V3V4_2.fastq.gz	M01607_357	HO1-HRW	W_B2_HRW	W_B2	61.9	7.2	120	0	Poland	Warsaw	Spring2018	2018-04	Hotel	HRW
124.18	124.18.V3V4_1.fastq.gz	124.18.V3V4_2.fastq.gz	M01607_357	HO1-FPB	W_B2_FPB	W_B2	41.3	7.3	370	0	Poland	Warsaw	Spring2018	2018-04	Hotel	FPB
117.18	117.18.V3V4_1.fastq.gz	117.18.V3V4_2.fastq.gz	M01607_357	HO2-MW	W_B3_MW	W_B3	15	7.1	13	0	Poland	Warsaw	Spring2018	2018-04	Hospital	MW
118.18	118.18.V3V4_1.fastq.gz	118.18.V3V4_2.fastq.gz	M01607_357	HO2-Bb	W_B3_BB	W_B3	27.3	7.1	14	99000	Poland	Warsaw	Spring2018	2018-04	Hospital	BB
119.18	119.18.V3V4_1.fastq.gz	119.18.V3V4_2.fastq.gz	M01607_357	HO2-HRW	W_B3_HRW	W_B3	41.2	7.1	13	65000	Poland	Warsaw	Spring2018	2018-04	Hospital	HRW
120.18	120.18.V3V4_1.fastq.gz	120.18.V3V4_2.fastq.gz	M01607_357	HO2_FPB	W_B3_FPB	W_B3	44.3	7.1	13	93000	Poland	Warsaw	Spring2018	2018-04	Hospital	FPB
3634	3634_V3V4_FWD.fastq.gz	3634_V3V4_REV.fastq.gz	DE18INS60512_124	HCH-MW	C_B1_MW	C_B1	7.6	NA	220	NA	Denmark	Copenhagen	Winter2017	2017-01	Health_care_facility	MW
3635	3635_V3V4_FWD.fastq.gz	3635_V3V4_REV.fastq.gz	DE18INS60512_124	HCH-AHE	C_B1_AHE	C_B1	60	NA	185	NA	Denmark	Copenhagen	Winter2017	2017-01	Health_care_facility	AHE
3636	3636_V3V4_FWD.fastq.gz	3636_V3V4_REV.fastq.gz	DE18INS60512_124	HCH-HRW	C_B1_HRW	C_B1	55.4	NA	195	NA	Denmark	Copenhagen	Winter2017	2017-01	Health_care_facility	HRW
3637	3637_V3V4_FWD.fastq.gz	3637_V3V4_REV.fastq.gz	DE18INS60512_124	HCH_FAHE	C_B1_FPB	C_B1	58.3	NA	195	NA	Denmark	Copenhagen	Winter2017	2017-01	Health_care_facility	FPB
3643	3643_V3V4_FWD.fastq.gz	3643_V3V4_REV.fastq.gz	DE18INS60512_124	H1-AHE	C_B2_AHE	C_B2	58.5	NA	280	NA	Denmark	Copenhagen	Winter2017	2017-01	Hotel	AHE
3644	3644_V3V4_FWD.fastq.gz	3644_V3V4_REV.fastq.gz	DE18INS60512_124	H1-HRW	C_B2_HRW	C_B2	50.2	NA	280	NA	Denmark	Copenhagen	Winter2017	2017-01	Hotel	HRW
3645	3645_V3V4_FWD.fastq.gz	3645_V3V4_REV.fastq.gz	DE18INS60512_124	H1-FAHE	C_B2_FAHE	C_B2	54.1	NA	265	NA	Denmark	Copenhagen	Winter2017	2017-01	Hotel	FPB
3638	3638_V3V4_FWD.fastq.gz	3638_V3V4_REV.fastq.gz	DE18INS60512_124	H2-MW	C_B3_MW	C_B3	7.3	NA	300	NA	Denmark	Copenhagen	Winter2017	2017-01	Hotel	MW
3639	3639_V3V4_FWD.fastq.gz	3639_V3V4_REV.fastq.gz	DE18INS60512_124	H2-AHE	C_B3_AHE	C_B3	50.5	NA	250	NA	Denmark	Copenhagen	Winter2017	2017-01	Hotel	AHE
3640	3640_V3V4_FWD.fastq.gz	3640_V3V4_REV.fastq.gz	DE18INS60512_124	H2-HRW	C_B3_HRW	C_B3	47.8	NA	280	NA	Denmark	Copenhagen	Winter2017	2017-01	Hotel	HRW
3641	3641_V3V4_FWD.fastq.gz	3641_V3V4_REV.fastq.gz	DE18INS60512_124	H2_FAHE	C_B3_FAHE	C_B3	49.9	NA	250	NA	Denmark	Copenhagen	Winter2017	2017-01	Hotel	FPB
3977	3977_1.fastq.gz	3977_2.fastq.gz	DE18INS60510_349	HCH-MW	C_B1_MW	C_B1	17.6	7.95	19.14	0	Denmark	Copenhagen	Summer2017	2017-07	Health_care_facility	MW
3978	3978_1.fastq.gz	3978_2.fastq.gz	DE18INS60510_349	HCH-AHE	C_B1_AHE	C_B1	60	7.7	26.04	0	Denmark	Copenhagen	Summer2017	2017-07	Health_care_facility	AHE
3979	3979_1.fastq.gz	3979_2.fastq.gz	DE18INS60510_349	HCH-HRW	C_B1_HRW	C_B1	54.7	7.85	18.54	0	Denmark	Copenhagen	Summer2017	2017-07	Health_care_facility	HRW
3980	3980_1.fastq.gz	3980_2.fastq.gz	DE18INS60510_349	HCH_FAHE	C_B1_FPB	C_B1	57.9	7.7	18.91	0	Denmark	Copenhagen	Summer2017	2017-07	Health_care_facility	FPB
3985	3985_1.fastq.gz	3985_2.fastq.gz	DE18INS60510_349	H1-MW	C_B2_MW	C_B2	13.6	7.75	23.3	0	Denmark	Copenhagen	Summer2017	2017-07	Hotel	MW
3986	3986_1.fastq.gz	3986_2.fastq.gz	DE18INS60510_349	H1-AHE	C_B2_AHE	C_B2	52.4	7.8	18.33	17	Denmark	Copenhagen	Summer2017	2017-07	Hotel	AHE
3987	3987_1.fastq.gz	3987_2.fastq.gz	DE18INS60510_349	H1-HRW	C_B2_HRW	C_B2	47.8	7.7	20.66	100	Denmark	Copenhagen	Summer2017	2017-07	Hotel	HRW
3988	3988_1.fastq.gz	3988_2.fastq.gz	DE18INS60510_349	H1-FAHE	C_B2_FAHE	C_B2	47.7	7.7	19.61	100	Denmark	Copenhagen	Summer2017	2017-07	Hotel	FPB
3981	3981_1.fastq.gz	3981_2.fastq.gz	DE18INS60510_349	H2-MW	C_B3_MW	C_B3	17.1	7.85	30.86	0	Denmark	Copenhagen	Summer2017	2017-07	Hotel	MW
3982	3982_1.fastq.gz	3982_2.fastq.gz	DE18INS60510_349	H2-AHE	C_B3_AHE	C_B3	50.6	7.8	25.25	0	Denmark	Copenhagen	Summer2017	2017-07	Hotel	AHE
3983	3983_1.fastq.gz	3983_2.fastq.gz	DE18INS60510_349	H2-HRW	C_B3_HRW	C_B3	48.8	7.8	20.08	0	Denmark	Copenhagen	Summer2017	2017-07	Hotel	HRW
